Module Family,Scope,Block Type,Descriptor,Production Status,Light Module Label,Light Module Path,Dark Module Label,Dark Module Path,Editable Status,Field Count,Field Summary,Module Role,Default Use,Allowed Email Families,Allowed Implementation Surfaces,Required Data Inputs,Fallback Behavior,Compliance Sensitivity,Brand Status,Source Section,Canonical Status,Related Emails,Notes
CORE - Text - Base type guidance,CORE,Text,Base type guidance,Active module family,CORE - Text - Base type guidance - Light,email_modules/core/base_type_guidance.module,CORE - Text - Base type guidance - Dark,email_modules/core/base_type_guidance_dark.module,Editable,2.0,Content Context (choice); Fallback CTA URL (when base preference unknown) (url),,,All email families,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
CORE - Text - Customer snapshot,CORE,Text,Customer snapshot,Active module family,CORE - Text - Customer snapshot - Light,email_modules/core/customer_snapshot.module,CORE - Text - Customer snapshot - Dark,email_modules/core/customer_snapshot_dark.module,Editable,3.0,Content Context (choice); CTA URL (url); CTA Label (text),,,All email families,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
CORE - Footer - Standard,CORE,Footer,Standard,Active module family,CORE - Footer - Standard - Light,email_modules/core/email_footer.module,CORE - Footer - Standard - Dark,email_modules/core/email_footer_dark.module,Editable,6.0,Company name (text); Company address (text); Instagram URL (url); Facebook URL (url); YouTube URL (url); Privacy URL (url),,,All email families,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
CORE - Header - Centered logo,CORE,Header,Centered logo,Active module family,CORE - Header - Centered logo - Light,email_modules/core/email_header.module,CORE - Header - Centered logo - Dark,email_modules/core/email_header_dark.module,Editable,2.0,Logo Image (image); Logo URL (optional) (url),,,All email families,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
CORE - Products - Goal-based recommendation,CORE,Products,Goal-based recommendation,Active module family,CORE - Products - Goal-based recommendation - Light,email_modules/core/goal_based_recommendation.module,CORE - Products - Goal-based recommendation - Dark,email_modules/core/goal_based_recommendation_dark.module,Editable,2.0,Section Heading (text); Fallback Body (no goal set) (richtext),,,All email families,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
CORE - Text - Lifespan next step,CORE,Text,Lifespan next step,Active module family,CORE - Text - Lifespan next step - Light,email_modules/core/lifespan_next_step.module,CORE - Text - Lifespan next step - Dark,email_modules/core/lifespan_next_step_dark.module,Editable,2.0,Reorder CTA URL (url); Upgrade/Consultation CTA URL (url),,,All email families,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Launch - Text - Belief list,Launch,Text,Belief list,Active module family,Launch - Text - Belief list - Light,email_modules/launch/launch_belief_list.module,Launch - Text - Belief list - Dark,email_modules/launch/launch_belief_list_dark.module,Editable,7.0,Eyebrow (text); Heading (text); Body (richtext); Point 1 (text); Point 2 (text); Point 3 (text); Point 4 (text),,,Launch,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Launch - Text - Five changes,Launch,Text,Five changes,Active module family,Launch - Text - Five changes - Light,email_modules/launch/launch_feature_list_5.module,Launch - Text - Five changes - Dark,email_modules/launch/launch_feature_list_5_dark.module,Editable,13.0,Eyebrow (text); Heading (text); Intro (richtext); Item 1 title (text); Item 1 text (richtext); Item 2 title (text); Item 2 text (richtext); Item 3 title (text); Item 3 text (richtext); Item 4 title (text); Item 4 text (richtext); Item 5 title (text); Item 5 text (richtext),,,Launch,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Launch - Text - Founder pillars,Launch,Text,Founder pillars,Active module family,Launch - Text - Founder pillars - Light,email_modules/launch/launch_founder_pillars.module,Launch - Text - Founder pillars - Dark,email_modules/launch/launch_founder_pillars_dark.module,Editable,9.0,Eyebrow (text); Heading (text); Body (richtext); Pillar 1 (text); Pillar 2 (text); Pillar 3 (text); Pillar 4 (text); Name (text); Role / title (text),,,Launch,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
Launch - Products - Three product grid,Launch,Products,Three product grid,Active module family,Launch - Products - Three product grid - Light,email_modules/launch/launch_product_grid3.module,Launch - Products - Three product grid - Dark,email_modules/launch/launch_product_grid3_dark.module,Editable,12.0,Eyebrow (text); Heading (text); Body (richtext); Product 1 image (image); Product 1 title (text); Product 1 text (richtext); Product 2 image (image); Product 2 title (text); Product 2 text (richtext); Product 3 image (image); Product 3 title (text); Product 3 text (richtext),,,Launch,HubSpot Design Manager email_modules,,,,"Active module palette/logos, per module cleanup inventory",HubSpot Email Modules plugin inventory,Canonical active module,,Light and Dark are presentation modes for the same active module family. No deleted ecommerce mockup modules or legacy prefix mapping.
