Email name,Body,Build Status,CTA,Email Channel,HubSpot Email ID,Hubspot Matched,Missing Modules,Module Stack,Modules Used,Position,Preview Text,Series,Series Total,Subject,Subscription Type,Workflow IDs
CR-2 · Three Questions Answered — Abandon +1d,"[Layout - Plain-text founder wrapper]
Hi {{ firstname }},

Most people who hesitate at checkout are stuck on one of three things. Here they are, answered straight.

[List - Questions: the three answers]
""Will it actually look real?""
At conversation distance, a well-fitted lace front is not detectable. The giveaway is never the hair — it's a hairline set too low, or a density too high for your age. We set both conservatively for exactly that reason.

""Will it hold?""
With clean prep and the right adhesive, a bond holds 7 to 14 days through showering, sweating and sleeping. Prep is the variable, not the product, and we walk you through it.

""What if it's not right when it arrives?""
Then you email me and we fix it. Colour off, density wrong, base size out — those are on us to resolve, and we do.

[Commerce - Cart line items] (recommended)
Still in your cart: {{ cart_contents }}

[List - Trust strip]
Handcrafted to your spec · 14-day inspection window · Direct line to the founder

[Testimonial]
[PULL from Proof Bank: a first-order quote that answers the ""will it look real"" doubt]

[Button - Primary CTA]
Finish your order →

Vincent

[Footer - Preference centre]",Blocked - missing module,See what customers say →,Marketing,214987971489,Yes,List - Trust strip,(Header - Centered logo) (Layout - Plain-text founder wrapper) [Commerce - Cart line items] (List - Questions: the three answers) (List - Trust strip) (Testimonial) (Button - Primary CTA) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Commerce - Cart line items - Light (https://app.notion.com/p/Commerce-Cart-line-items-Light-9cbf4e0d84e08365a58c01cfae02db12?pvs=21), List - Questions - Light (https://app.notion.com/p/List-Questions-Light-190f4e0d84e083418a230178ca6196ec?pvs=21), List - Trust strip - Light (https://app.notion.com/p/List-Trust-strip-Light-8801ff07efc24e8c9dc7ec6e81e42bbc?pvs=21), Testimonial - Light (https://app.notion.com/p/Testimonial-Light-955f4e0d84e083e1a17501a482a51f91?pvs=21), Button - Primary CTA - Light (https://app.notion.com/p/Button-Primary-CTA-Light-5cef4e0d84e08240b53a0126a9c9667a?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",2,"Will it look real, will it hold, and what if it's wrong.",J2 · Cart Recovery · Master,5,The three things people ask before ordering,Order & Shipping Updates,Journey · Cart Recovery · Master
WB-1 · Checking In — Day 0,"Hi {{ firstname }},

It's been a while — your last order with us was {{ months_since_last_order }} months ago.

No pitch in this email. I'm just curious how you got on.

If you're still wearing a system and it's working, that's good to hear and you can ignore this.

If you stopped, I'd honestly like to know why. Was it the maintenance? The cost? Did the fit never come right? Did you go a different route entirely?

I read every reply, and the answers change what we make. The most useful feedback I've had all year came from people who stopped buying.

Vincent
Founder, Hair Solutions Co.",Needs building in HubSpot,No button — reply-only by design,Marketing,211345979664,Yes,,(Header - Centered logo) (Layout - Plain-text founder wrapper) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",1,No offer attached. Just wondering how you got on.,J3 · Win-Back → Sunset,4,Checking in — Vincent here,News & Offers,Journey · Win-Back → Sunset
CR-1 · Your Cart's Still Here — Abandon +4h,"[Layout - Plain-text founder wrapper]
Hi {{ firstname }},

You were partway through an order and stopped. That's completely fine — but occasionally it's because something on our side didn't work, and I'd want to know.

If it was a payment error, a shipping surprise, or the page just froze, reply and tell me. I'll sort it out.

If you're still deciding, no rush at all. Your cart's saved.

Vincent

[Commerce - Cart line items]
Still in your cart:
{{ cart_contents }}

[Button - Primary CTA]
Finish your order →

[Footer - Preference centre]",Needs building in HubSpot,Finish your order →,Marketing,214989746959,Yes,,(Header - Centered logo) (Layout - Plain-text founder wrapper) (Commerce - Cart line items) (Button - Primary CTA: return to cart) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Commerce - Cart line items - Light (https://app.notion.com/p/Commerce-Cart-line-items-Light-9cbf4e0d84e08365a58c01cfae02db12?pvs=21), Button - Primary CTA - Light (https://app.notion.com/p/Button-Primary-CTA-Light-5cef4e0d84e08240b53a0126a9c9667a?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",1,No pressure — just making sure nothing broke on our end.,J2 · Cart Recovery · Master,5,Your cart's still here,Order & Shipping Updates,Journey · Cart Recovery · Master
PP-7 · How's It Going — Delivery +35d,"Hi {{ firstname }},

You've had your system about five weeks now — long enough to know how you feel about it.

How's it going?

If it's going well, the first button takes you to a review page. Reviews are how people in the same position you were in five weeks ago decide whether to trust us.

If it isn't right, the second comes straight to me. Fit, colour, density, adhesion, anything. No form, no ticket queue — it's my inbox. Most issues at this stage are fixable, and the ones that aren't, I'd still rather know about.

Vincent
Founder, Hair Solutions Co.",Needs building in HubSpot,It's going well → / It's not quite right →,Service,214989746989,Yes,,(Header - Centered logo) (Layout - Plain-text founder wrapper) (Footer - Standard),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Footer - Standard - Light (https://app.notion.com/p/Footer-Standard-Light-8c3f4e0d84e082c6acf6815321074fc7?pvs=21)",7,"One question. Good or bad, I want the real answer.",J1 · Post-Purchase · Master,7,Honestly — how's it going?,Customer Service Communication,Journey · Post-Purchase · Master
PP-3 · On The Bench — Day 5,"[Layout - Plain-text founder wrapper]
Hi {{ firstname }},

Quick update: your system is in production.

What that means in practice — the base is cut to your specification, and the hair is being tied into it by hand, a few strands at a time. A full unit is somewhere between twenty and thirty thousand knots. It's slow work, and it's the reason the wait exists.

This is also the part that decides whether a hairline looks real or looks like a wig. There's no way to rush it without it showing.

Nothing needed from you. My next email is the dispatch notice with your tracking number.

Vincent

[Photo - Feature story: workshop shot]
{{ image: the bench — a unit mid-ventilation, natural light, no staging }}
Caption: This is what the middle of your wait looks like.

[Footer - Preference centre]",Needs building in HubSpot,See how a system is made →,Marketing,214989746995,Yes,,(Header - Centered logo) (Layout - Plain-text founder wrapper) (Photo - Feature story: workshop shot) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Photo - Feature story - Light (https://app.notion.com/p/Photo-Feature-story-Light-fd5f4e0d84e0833bb12d0192e338778d?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",3,A look at what's actually happening to it right now.,J1 · Post-Purchase · Master,7,Your system is on the bench,Order & Shipping Updates,Journey · Post-Purchase · Master
RO-2 · Due For Supplies — Delivery +60d,"[Hero - Text-led]
You're about due for supplies.

[Text - Opening]
Hi {{ firstname }},

You last ordered supplies {{ days_since_supply_order }} days ago.

At a normal reapplication cycle, that's about when adhesive and remover run out. Not a guess — that's the maths on a two-week bond.

The reason I flag it: running out mid-cycle is when people improvise with the wrong solvent, and that's the single most common way a good system gets ruined.

[Product - Dynamic recommendations] (recommended)
What you'd normally need now:
{{ recommended_reorder_items }}

[Text - Reassurance]
If you've changed routine and need something different, reply and tell me what you're using now — I'll adjust the list rather than send you the default.

Vincent

[Button - Primary CTA]
Reorder supplies →

[Footer - Preference centre]",Needs building in HubSpot,Reorder supplies →,Marketing,214989746983,Yes,,(Header - Centered logo) (Hero - Text-led) (Text - Opening) [Product - Dynamic recommendations] (Text - Reassurance) (Button - Primary CTA: reorder supplies) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Hero - Text-led - Light (https://app.notion.com/p/Hero-Text-led-Light-963f4e0d84e08227a47b8102d3cfa40c?pvs=21), Text - Opening - Light (https://app.notion.com/p/Text-Opening-Light-09af4e0d84e08274be7e01b5ade1e13c?pvs=21), Product - Dynamic recommendations - Light (https://app.notion.com/p/Product-Dynamic-recommendations-Light-bcaf4e0d84e082ef91cd016f15fff865?pvs=21), Text - Reassurance - Light (https://app.notion.com/p/Text-Reassurance-Light-5d3f4e0d84e082fe98ef010e47535c71?pvs=21), Button - Primary CTA - Light (https://app.notion.com/p/Button-Primary-CTA-Light-5cef4e0d84e08240b53a0126a9c9667a?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",2,"Based on when you last ordered, not a guess.",J4 · Reorder · Master,6,You're about due for supplies,Hair Care Guidance,Journey · Reorder · Master
RO-5 · Auto-Reorder — Delivery +125d,"[Hero - Text-led]
Stop thinking about supplies entirely.

[Layout - Plain-text founder wrapper]
Hi {{ firstname }},

You've reordered supplies {{ reorder_count }} times now. That's {{ reorder_count }} occasions you had to notice you were low, and at least one where you probably cut it fine.

There's a simpler version. Set your interval once and the supplies arrive before you run out.

Based on your history, {{ recommended_interval }} weeks looks about right, but you can change it.

Vincent

[List - Questions: how it works]
— You choose the interval; adjust or skip any delivery
— 10% off every order on a plan
— Cancel in one click, no email required

[Text - Reassurance]
If you'd rather keep ordering manually, that's completely fine — I'll stop mentioning it after this.

[Button - Primary CTA]
Set up auto-reorder →

[Footer - Preference centre]",Needs building in HubSpot,Set up auto-reorder →,Marketing,214989746986,Yes,,(Header - Centered logo) (Hero - Text-led) (Layout - Plain-text founder wrapper) (List - Questions: how it works) (Text - Reassurance) (Button - Primary CTA) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Hero - Text-led - Light (https://app.notion.com/p/Hero-Text-led-Light-963f4e0d84e08227a47b8102d3cfa40c?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), List - Questions - Light (https://app.notion.com/p/List-Questions-Light-190f4e0d84e083418a230178ca6196ec?pvs=21), Text - Reassurance - Light (https://app.notion.com/p/Text-Reassurance-Light-5d3f4e0d84e082fe98ef010e47535c71?pvs=21), Button - Primary CTA - Light (https://app.notion.com/p/Button-Primary-CTA-Light-5cef4e0d84e08240b53a0126a9c9667a?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",5,Auto-reorder on your schedule. Cancel any time.,J4 · Reorder · Master,6,Stop thinking about supplies entirely,News & Offers,Journey · Reorder · Master
BR-1 · Base Types Explainer — Browse +1d,"[Hero - Text-led]
Lace, poly, or hybrid — the two-minute version.

[Layout - Plain-text founder wrapper]
Hi {{ firstname }},

You were looking at {{ last_viewed_product }}. Before you go further, the base type question is worth two minutes, because it decides more about your day-to-day than anything else.

If you tell me how you live — gym, heat, hats, how often you want to remove it — I'll tell you which one I'd pick.

Vincent

[Commerce - Viewed product] (recommended)
{{ last_viewed_product }}

[Text - Base type guidance] (recommended)
Lace — most natural at the hairline, most breathable, shortest life. Best if appearance is the priority and you don't mind replacing more often.

Poly — most durable, easiest to clean and reapply, slightly less invisible up close. Best if you want low maintenance and a long bond.

Hybrid — lace front for the hairline, poly at the sides and back. Most people end up here.

[Button - Primary CTA]
Compare base types →

[Footer - Preference centre]",Needs building in HubSpot,Compare base types →,Marketing,214987971495,Yes,,(Header - Centered logo) (Hero - Text-led) (Layout - Plain-text founder wrapper) [Commerce - Viewed product] [Text - Base type guidance] (Button - Primary CTA) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Hero - Text-led - Light (https://app.notion.com/p/Hero-Text-led-Light-963f4e0d84e08227a47b8102d3cfa40c?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Commerce - Viewed product - Light (https://app.notion.com/p/Commerce-Viewed-product-Light-4a6f4e0d84e0824aa3ca8129c698a993?pvs=21), Text - Base type guidance - Light (https://app.notion.com/p/Text-Base-type-guidance-Light-cc0f4e0d84e083618a8c016dc8a36971?pvs=21), Button - Primary CTA - Light (https://app.notion.com/p/Button-Primary-CTA-Light-5cef4e0d84e08240b53a0126a9c9667a?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",5,"Lace, poly, or hybrid — the two-minute version.",J2 · Cart Recovery · Master,5,Still weighing up base types?,Order & Shipping Updates,Journey · Cart Recovery · Master
RO-1 · Six Weeks In — Delivery +45d,"Hi {{ firstname }},

Six weeks is the point where a system starts telling you how it's going to age. Two things worth checking this week.

The front perimeter. Hold it to the light and look along the very front edge. Fine splits there are normal wear, but they spread. Catching one now is a repair; catching it in a month is a replacement.

The knots at the crown. If hair is shedding faster than it was, that's usually cleaning technique rather than a fault — too much friction on the base.

Where you are in the cycle: most systems run three to six months. At six weeks you're roughly a third through, which means now is the time to be maintaining, not replacing.

Reply with a photo if anything looks off and I'll tell you what I'm seeing.

Vincent",Needs building in HubSpot,Inspection guide →,Marketing,214990267468,Yes,,(Header - Centered logo) (Layout - Plain-text founder wrapper) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Layout - Plain-text founder wrapper - Light (https://app.notion.com/p/Layout-Plain-text-founder-wrapper-Light-245f4e0d84e0832280a101f38a7141a7?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",1,"Two things to check, and what they tell you.",J4 · Reorder · Master,6,Six weeks in — how's it holding up?,Hair Care Guidance,Journey · Reorder · Master
RO-3 · Replacement Window — Delivery +90d,"[Hero - Text-led]
Your replacement window is opening.

[Text - Customer snapshot: their spec]
Hi {{ firstname }},

Your system is about three months old, which puts you at the start of the replacement window rather than the end of it.

Nothing to do today. But two things worth knowing:

A replacement takes {{ production_lead_time }} to make. If you order the day your current one fails, you have a gap with no system. Most people order their second while the first still has a few weeks left, and rotate between them.

Rotating two systems roughly doubles the life of both. Neither is worn continuously, adhesive gets a full cure between wears, and the bases last considerably longer.

Vincent

[Commerce - Quote and spec table] (recommended)
Your saved specification:
{{ last_order_specification }}

[Testimonial]
[PULL from Proof Bank: a customer on rotating two systems — practical register]

[Review stars]
[PULL from Proof Bank: aggregate rating]

[Button - Primary CTA]
Order your next system →

[Footer - Preference centre]",Blocked - missing module,Order your next system →,Marketing,214988061045,Yes,Review stars,(Header - Centered logo) (Hero - Text-led) (Text - Customer snapshot: their spec) [Commerce - Quote and spec table] (Testimonial) (Review stars) (Button - Primary CTA) (Footer - Preference centre),"Header - Centered logo - Light (https://app.notion.com/p/Header-Centered-logo-Light-586f4e0d84e0821a960b015f18443fb8?pvs=21), Hero - Text-led - Light (https://app.notion.com/p/Hero-Text-led-Light-963f4e0d84e08227a47b8102d3cfa40c?pvs=21), Text - Customer snapshot - Light (https://app.notion.com/p/Text-Customer-snapshot-Light-02bf4e0d84e0820fbfcf816d63fe68ae?pvs=21), Commerce - Quote and spec table - Light (https://app.notion.com/p/Commerce-Quote-and-spec-table-Light-b38f4e0d84e08340b8978142a8ab3328?pvs=21), Testimonial - Light (https://app.notion.com/p/Testimonial-Light-955f4e0d84e083e1a17501a482a51f91?pvs=21), Review stars - Light (https://app.notion.com/p/Review-stars-Light-d78b9112fd1d40eaa4919a1496b51c38?pvs=21), Button - Primary CTA - Light (https://app.notion.com/p/Button-Primary-CTA-Light-5cef4e0d84e08240b53a0126a9c9667a?pvs=21), Footer - Preference centre - Light (https://app.notion.com/p/Footer-Preference-centre-Light-fa4f4e0d84e082819ba601163ca05b5a?pvs=21)",3,Not urgent yet — but worth knowing the lead time.,J4 · Reorder · Master,6,Your replacement window is opening,Hair Care Guidance,Journey · Reorder · Master
