Module,Available for New Content,Category,Family,Field Count,Field Names,Field Types,HTML Size KB,HubSpot Module ID,Notes,Review Status,Slug,Source Path,Theme,Used In Emails
Footer - Preference centre - Dark,Yes,core,Footer - Preference centre,8,"eyebrow, body_text, option_1_text, option_1_url, option_2_text, option_2_url, option_3_text, option_3_url","richtext, text, url",2.4,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,footer_preference_centre_dark,core/footer_preference_centre_dark.module,Dark,
Photo - Feature story - Dark,Yes,newsletter,Photo - Feature story,6,"image, eyebrow, headline, body_text, button_text, button_url","image, richtext, text, url",2.6,215062232737,,Not started,photo_feature_story_dark,newsletter/photo_feature_story_dark.module,Dark,
Footer - Social - Dark,Yes,newsletter,Footer - Social,4,"logo_image, ig_url, fb_url, yt_url","image, url",2,215064426927,,Not started,footer_social_dark,newsletter/footer_social_dark.module,Dark,
Text - Reassurance - Light,Yes,core,Text - Reassurance,9,"eyebrow, heading, body_text, point_1_label, point_1_text, point_2_label, point_2_text, point_3_label, point_3_text","richtext, text",2.7,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,text_reassurance_light,core/text_reassurance_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268152ae92f7f588c3f74c?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268104a69ff6980f774476?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df112681b8b887c451914a98da?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268155ac1ae3a54c3ccdd7?pvs=21), PP-1 · Order Confirmation — Day 0 (https://app.notion.com/p/PP-1-Order-Confirmation-Day-0-3b8f4e0d84e081179f67f8744ceeed1d?pvs=21), PP-2 · Prep Guide — Day 1 (https://app.notion.com/p/PP-2-Prep-Guide-Day-1-f3df4e0d84e08273b127816ad46c0ea5?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21), RO-2 · Due For Supplies — Delivery +60d (https://app.notion.com/p/RO-2-Due-For-Supplies-Delivery-60d-b70f4e0d84e0827eb83201aafef05b0d?pvs=21), RO-5 · Auto-Reorder — Delivery +125d (https://app.notion.com/p/RO-5-Auto-Reorder-Delivery-125d-2e2f4e0d84e083c4b5928199b38ec6df?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21)"
Footer - Social - Light,Yes,newsletter,Footer - Social,4,"logo_image, ig_url, fb_url, yt_url","image, url",1.5,215027397715,,Not started,footer_social_light,newsletter/footer_social_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), W-1 · Welcome + Expectations — Signup +0d (https://app.notion.com/p/W-1-Welcome-Expectations-Signup-0d-114a216d79044540bae58cf824c77151?pvs=21), W-5 · Soft Consult Invite — Signup +18d (https://app.notion.com/p/W-5-Soft-Consult-Invite-Signup-18d-cbc584eb023c4555925a4e70f5ca4921?pvs=21), W-3 · Style Inspiration — Signup +7d (https://app.notion.com/p/W-3-Style-Inspiration-Signup-7d-75fc98f28b6b49478ee7cf5e0195690a?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21), W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)"
Commerce - Quote and spec table - Dark,Yes,core,Commerce - Quote and spec table,15,"eyebrow, heading, label_base, value_base, label_density, value_density, label_colour, value_colour, label_size, value_size, label_price, value_price, note, button_text, button_url","richtext, text, url",4.4,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,commerce_quote_spec_table_dark,core/commerce_quote_spec_table_dark.module,Dark,
Hero - Text-led - Light,Yes,core,Hero - Text-led,6,"eyebrow, heading, body_text, primary_cta_label, primary_cta_url, supporting_note","richtext, text, url",2.6,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,hero_text_led_light,core/hero_text_led_light.module,Light,"PP-7b · UGC Photo Request — PP-7 positive +7d (https://app.notion.com/p/PP-7b-UGC-Photo-Request-PP-7-positive-7d-62af4e0d84e08208885801f37e5ed816?pvs=21), PP-1 · Order Confirmation — Day 0 (https://app.notion.com/p/PP-1-Order-Confirmation-Day-0-3b8f4e0d84e081179f67f8744ceeed1d?pvs=21), PP-2 · Prep Guide — Day 1 (https://app.notion.com/p/PP-2-Prep-Guide-Day-1-f3df4e0d84e08273b127816ad46c0ea5?pvs=21), PP-4 · Shipped + Tracking — Fulfilment event (https://app.notion.com/p/PP-4-Shipped-Tracking-Fulfilment-event-4eaf4e0d84e08205b83181ddeb546a42?pvs=21), PP-5 · Maintenance Calendar — Delivery +7d (https://app.notion.com/p/PP-5-Maintenance-Calendar-Delivery-7d-1b7f4e0d84e082228e268153dea45051?pvs=21), PP-6 · Four Products That Matter — Delivery +21d (https://app.notion.com/p/PP-6-Four-Products-That-Matter-Delivery-21d-3b8f4e0d84e0817583a8f81536369ca6?pvs=21), WB-2 · What's Changed — Day 7 (https://app.notion.com/p/WB-2-What-s-Changed-Day-7-478f4e0d84e083ee9d2b019b42fff73d?pvs=21), WB-3 · 20% Welcome Back — Day 14 (https://app.notion.com/p/WB-3-20-Welcome-Back-Day-14-9e8f4e0d84e082aca298011a71c69bb8?pvs=21), BR-1 · Base Types Explainer — Browse +1d (https://app.notion.com/p/BR-1-Base-Types-Explainer-Browse-1d-b4df4e0d84e0831c928d01b7afba6e95?pvs=21), RO-2 · Due For Supplies — Delivery +60d (https://app.notion.com/p/RO-2-Due-For-Supplies-Delivery-60d-b70f4e0d84e0827eb83201aafef05b0d?pvs=21), RO-3 · Replacement Window — Delivery +90d (https://app.notion.com/p/RO-3-Replacement-Window-Delivery-90d-d78f4e0d84e08281869101bb3aabd477?pvs=21), RO-5 · Auto-Reorder — Delivery +125d (https://app.notion.com/p/RO-5-Auto-Reorder-Delivery-125d-2e2f4e0d84e083c4b5928199b38ec6df?pvs=21), RO-6 · Returning Customer Price — Delivery +140d (https://app.notion.com/p/RO-6-Returning-Customer-Price-Delivery-140d-374f4e0d84e0835b888081b370ca3743?pvs=21), C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21), C-0 · Consultation Recap — Day 0 (https://app.notion.com/p/C-0-Consultation-Recap-Day-0-7e5150343cdd4111a1e316d127a34ecb?pvs=21), C-2 · Spec Confidence — Day 6 (https://app.notion.com/p/C-2-Spec-Confidence-Day-6-064a486128b64f3e83b4ecc1e80a09eb?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21), W-2 · How Systems Work — Signup +3d (https://app.notion.com/p/W-2-How-Systems-Work-Signup-3d-c5ead34961f44b2bb581e993f572e936?pvs=21), W-4 · Social Proof Wall — Signup +12d (https://app.notion.com/p/W-4-Social-Proof-Wall-Signup-12d-e0560b12f3334f2a9b30190774933653?pvs=21)"
Product - Dynamic recommendations - Dark,Yes,core,Product - Dynamic recommendations,11,"eyebrow, heading, product_1_image, product_1_title, product_1_text, product_2_image, product_2_title, product_2_text, fallback_body, button_text, button_url","image, richtext, text, url",3.7,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,product_dynamic_recommendations_dark,core/product_dynamic_recommendations_dark.module,Dark,
Footer - Preference centre - Light,Yes,core,Footer - Preference centre,8,"eyebrow, body_text, option_1_text, option_1_url, option_2_text, option_2_url, option_3_text, option_3_url","richtext, text, url",2.4,,Built 2026-07-31 to close a blueprint gap. Local only - not yet uploaded to Design Manager.,Not started,footer_preference_centre_light,core/footer_preference_centre_light.module,Light,"WB-3 · 20% Welcome Back — Day 14 (https://app.notion.com/p/WB-3-20-Welcome-Back-Day-14-9e8f4e0d84e082aca298011a71c69bb8?pvs=21), WB-4 · Last Email From Us — Day 21 (https://app.notion.com/p/WB-4-Last-Email-From-Us-Day-21-1c0f4e0d84e0839587c7010fc78c07b7?pvs=21), Untitled (https://app.notion.com/p/3ac9f1df11268155ac1ae3a54c3ccdd7?pvs=21), PP-1 · Order Confirmation — Day 0 (https://app.notion.com/p/PP-1-Order-Confirmation-Day-0-3b8f4e0d84e081179f67f8744ceeed1d?pvs=21), PP-2 · Prep Guide — Day 1 (https://app.notion.com/p/PP-2-Prep-Guide-Day-1-f3df4e0d84e08273b127816ad46c0ea5?pvs=21), PP-3 · On The Bench — Day 5 (https://app.notion.com/p/PP-3-On-The-Bench-Day-5-7aaf4e0d84e0820c8d23815a05181cc5?pvs=21), PP-4 · Shipped + Tracking — Fulfilment event (https://app.notion.com/p/PP-4-Shipped-Tracking-Fulfilment-event-4eaf4e0d84e08205b83181ddeb546a42?pvs=21), PP-5 · Maintenance Calendar — Delivery +7d (https://app.notion.com/p/PP-5-Maintenance-Calendar-Delivery-7d-1b7f4e0d84e082228e268153dea45051?pvs=21), CR-1 · Your Cart's Still Here — Abandon +4h (https://app.notion.com/p/CR-1-Your-Cart-s-Still-Here-Abandon-4h-7b6f4e0d84e08326bfbc81b9290d1887?pvs=21), CR-2 · Three Questions Answered — Abandon +1d (https://app.notion.com/p/CR-2-Three-Questions-Answered-Abandon-1d-c7bf4e0d84e08378887b0109a11f71aa?pvs=21), CR-4 · Last Note + Free Shipping — Abandon +4d (https://app.notion.com/p/CR-4-Last-Note-Free-Shipping-Abandon-4d-a88f4e0d84e0832b809f01f94bc2059d?pvs=21), BR-1 · Base Types Explainer — Browse +1d (https://app.notion.com/p/BR-1-Base-Types-Explainer-Browse-1d-b4df4e0d84e0831c928d01b7afba6e95?pvs=21), WB-1 · Checking In — Day 0 (https://app.notion.com/p/WB-1-Checking-In-Day-0-3e0f4e0d84e083f4b3340152f98b0ecf?pvs=21), CR-3 · Not Sure You Picked Right — Abandon +2d (https://app.notion.com/p/CR-3-Not-Sure-You-Picked-Right-Abandon-2d-3b8f4e0d84e081fdb857ce1922d41c84?pvs=21), RO-1 · Six Weeks In — Delivery +45d (https://app.notion.com/p/RO-1-Six-Weeks-In-Delivery-45d-523f4e0d84e08228bc4d018db1929acd?pvs=21), RO-2 · Due For Supplies — Delivery +60d (https://app.notion.com/p/RO-2-Due-For-Supplies-Delivery-60d-b70f4e0d84e0827eb83201aafef05b0d?pvs=21), RO-3 · Replacement Window — Delivery +90d (https://app.notion.com/p/RO-3-Replacement-Window-Delivery-90d-d78f4e0d84e08281869101bb3aabd477?pvs=21), RO-4 · Same Spec Or Change — Delivery +110d (https://app.notion.com/p/RO-4-Same-Spec-Or-Change-Delivery-110d-3b8f4e0d84e0816ab89efefde0786781?pvs=21), RO-5 · Auto-Reorder — Delivery +125d (https://app.notion.com/p/RO-5-Auto-Reorder-Delivery-125d-2e2f4e0d84e083c4b5928199b38ec6df?pvs=21), RO-6 · Returning Customer Price — Delivery +140d (https://app.notion.com/p/RO-6-Returning-Customer-Price-Delivery-140d-374f4e0d84e0835b888081b370ca3743?pvs=21), C-4 · Founder Close — Day 18 (https://app.notion.com/p/C-4-Founder-Close-Day-18-47ac077f0f2347038c9eba5727a89a01?pvs=21), C-3 · Soft Incentive — Day 12 (https://app.notion.com/p/C-3-Soft-Incentive-Day-12-9c53ce6c1f9c4d42a94de96d9b4908a9?pvs=21), C-2 · Spec Confidence — Day 6 (https://app.notion.com/p/C-2-Spec-Confidence-Day-6-064a486128b64f3e83b4ecc1e80a09eb?pvs=21), C-1 · Objections Answered — Day 2 (https://app.notion.com/p/C-1-Objections-Answered-Day-2-689d7b96ac64430aa06602934811dde7?pvs=21)"
Hero - Text-led - Dark,Yes,core,Hero - Text-led,6,"eyebrow, heading, body_text, primary_cta_label, primary_cta_url, supporting_note","richtext, text, url",2.6,,No HubSpot module ID - not yet uploaded to Design Manager,Not started,hero_text_led_dark,core/hero_text_led_dark.module,Dark,
