Email Name,Master Tags,Level 2 Tags,Level 3 Tags,Level 4 Tags,Email Channel,Programmable Email,Sequence Position,Sequence Total,Is Enumerated Sequence,Email Family,Implementation Surface,HubSpot Email ID,HubSpot State,Workflow IDs,Subscription Type,Subject,Preview Text,Publish Readiness,Review Status,Needs Rewrite,Module Wiring Status,Master Email Modules,Duplicate Merge Status,Notes
Browse - Browse Recovery - Product Reminder - Browse Recovery,Browse,Browse Recovery,Product Reminder,Browse Recovery,Marketing,Candidate/Needs Review,1.0,,,lifecycle,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Browse - Browse Recovery - Related Products - Browse Recovery,Browse,Browse Recovery,Related Products,Browse Recovery,Marketing,Candidate/Needs Review,2.0,,,lifecycle,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Cart - Cart Recovery - Gentle Reminder - Cart Recovery,Cart,Cart Recovery,Gentle Reminder,Cart Recovery,Marketing,Candidate/Needs Review,1.0,,,abandoned_cart,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Cart - Cart Recovery - Value Reinforcement - Cart Recovery,Cart,Cart Recovery,Value Reinforcement,Cart Recovery,Marketing,Candidate/Needs Review,2.0,,,abandoned_cart,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Cart - Cart Recovery - Urgency Incentive - Cart Recovery,Cart,Cart Recovery,Urgency Incentive,Cart Recovery,Marketing,Candidate/Needs Review,3.0,,,abandoned_cart,,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,,single source,
Consultation - Consultation Follow-up - Follow-Up Day 10,Consultation,Consultation Follow-up,Follow-Up Day 10,,Sales,Candidate/Needs Review,,,,Flow-other,Sales template / conditional branch,216507598990.0,AUTOMATED (published),,,,,Published in HubSpot (2026-07-05 session),Needs Copy Review,No,"flat rich_text + email_footer -- NOT modular, needs rebuild to Launch-style header/hero/product/footer pattern","Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",merged branch strategy,"Subject: A quick note, {{ contact.firstname }} Goal: Prompt a reply without pressure QA build: not_built Branch note: current-system-user variant should be handled as conditional copy, not a separate row."
Consultation - Consultation Follow-up - Follow-Up Day 5,Consultation,Consultation Follow-up,Follow-Up Day 5,,Sales,Candidate/Needs Review,,,,Flow-other,Sales template / conditional branch,216517553225.0,AUTOMATED (published),,,,,Published in HubSpot (2026-07-05 session),Needs Copy Review,No,"flat rich_text + email_footer -- NOT modular, needs rebuild to Launch-style header/hero/product/footer pattern","Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",merged branch strategy,"Subject: Still thinking it over, {{ contact.firstname }}? Goal: Prompt a reply without pressure QA build: not_built Branch note: current-system-user variant should be handled as conditional copy, not a separate row."
Consultation - Consultation Follow-up - Follow-Up Day 90 Reengagement,Consultation,Consultation Follow-up,Follow-Up Day 90 Reengagement,,Sales,Candidate/Needs Review,,,,Flow-other,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",needs merge review,"Subject: Checking in, {{ contact.firstname }} Goal: Prompt a reply without pressure QA build: not_built"
Consultation - Consultation Follow-up - Final Close Loop,Consultation,Consultation Follow-up,Final Close Loop,,Sales,Candidate/Needs Review,,,,Flow-other,Workflow-triggered,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",needs merge review,"Subject: Closing the loop, {{ contact.firstname }} Goal: Prompt a reply without pressure QA build: not_built"
"Consultation - Consultation Recap, Consultation - Consultation Recap - Standard Currency",Consultation,"Consultation Recap, Consultation",Consultation Recap,Standard Currency,Sales,Yes,,,,Flow-other,Programmable sales template,216517564345.0,AUTOMATED (published),,,,,Published in HubSpot (2026-07-05 session),Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",merged duplicate currency rows,"Merged CAD/EUR/GBP/USD exact duplicate bodies. Currency should be a programmable data field/branch. | Trigger architecture open item: needs Deal-based workflow (deal stage Awaiting Consultation + call result succeeded/connected), not yet wired -- see hs-lifecycle-strategy-2026 skill S3."
"Consultation - Consultation Recap, Consultation - Consultation Recap - Current System User",Consultation,"Consultation Recap, Consultation",Consultation Recap,Current System User,Sales,Candidate/Needs Review,,,,Flow-other,Programmable sales template branch,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",branch variant,"Subject: Your Hair Solutions Co. consultation recap, {{ contact.firstname }} Goal: Deliver branch-specific recap and next step QA build: not_built Keep as meaningful recap branch; consider conditionalizing inside programmable recap."
"Consultation - Consultation Recap, Consultation - Consultation Recap - No Local Partner",Consultation,"Consultation Recap, Consultation",Consultation Recap,No Local Partner,Sales,Candidate/Needs Review,,,,Flow-other,Programmable sales template branch,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Footer",branch variant,"Subject: Your Hair Solutions Co. consultation recap, {{ contact.firstname }} Goal: Deliver branch-specific recap and next step QA build: not_built Keep as meaningful recap branch; consider conditionalizing inside programmable recap."
Consultation - Sales Supporting - First Enquiry Reply - Supporting,Consultation,Sales Supporting,First Enquiry Reply,Supporting,Sales,No,,,,Flow-other,Sales template / SEND_EMAIL,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Reassurance, CTA, Secondary CTA, FAQ block, Footer",needs merge review,Subject: Re: your inquiry - {{ contact.firstname }} Goal: Acknowledge inquiry and set expectations QA build: not_built
"Consultation - Maintenance Education, Sales Supporting - Home Maintenance Extension - Supporting",Consultation,"Maintenance Education, Sales Supporting",Home Maintenance Extension,Supporting,Sales,No,,,,Flow-other,"Sales template / SEND_EMAIL, Standard marketing",,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Footer",needs merge review,Subject: Before the commitment - home maintenance & care Goal: Set expectations on maintenance commitment QA build: not_built
Welcome - 1 of 5 - Welcome and Resource Delivery,Welcome,1 of 5,Welcome and Resource Delivery,,Marketing,No,1.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, Founder note, Proof, Footer",needs merge review,"Subject: Your guide is ready, {{ contact.firstname | default(""there"") }} Preview: Plus what to know before choosing your first system. Goal: Download guide (primary), Reply to email (secondary) QA build: not_built"
"Welcome - 3 of 5, Product Education - Educational - Understanding Base Types",Welcome,"3 of 5, Product Education",Educational - Understanding Base Types,,Marketing,Yes,3.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer, Goal-based recommendation, Base type guidance",needs merge review,"Subject: Lace vs. skin — here's the real difference Preview: It comes down to two things: how it looks and how long it lasts. Goal: Reply to email, or link to comparison page QA build: not_built Moved out of non-marketing cleanup: welcome/product education belongs to Marketing."
Welcome - 4 of 5 - Social Proof Wall,Welcome,4 of 5,Social Proof Wall,,Marketing,No,4.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,"Subject: Real customers, real results Preview: See what our customers say about their first system. Goal: Link to testimonials/results page QA build: not_built"
"Welcome, Sales - 5 of 5, Consultation - Consultation Invitation","Welcome, Sales","5 of 5, Consultation",Consultation Invitation,,Marketing,No,5.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, Founder note, FAQ block, Proof, Footer",needs merge review,"Subject: Ready when you are Preview: No commitment, no pressure. Just clarity on your next step. Goal: Link to consultation booking or reply-to-email prompt QA build: not_built"
"Newsletter, Welcome - 1 of 5, Newsletter - Newsletter Welcome","Newsletter, Welcome","1 of 5, Newsletter",Newsletter Welcome,,Marketing,No,1.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,"Subject: You're in, {{ contact.firstname | default(""welcome"") }} Preview: What to expect from us (and what we'll never do). Goal: None (tone-setting only) QA build: not_built"
"Newsletter, Welcome - 2 of 5 - How Hair Systems Work","Newsletter, Welcome",2 of 5,How Hair Systems Work,,Marketing,No,2.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,"Subject: How a hair system actually works (the 3-minute version) Preview: Base, hair, attachment — that's it. Goal: Link to base type guide QA build: not_built"
"Newsletter, Welcome - 3 of 5 - Style Inspiration","Newsletter, Welcome",3 of 5,Style Inspiration,,Marketing,No,3.0,5.0,Yes,Flow-welcome,Standard marketing,,,,,,,Needs Copy Review,Needs Copy Review,No,not mapped,"Hero, Context, Education, Product recommendation, Reassurance, CTA, Secondary CTA, FAQ block, Proof, Footer",needs merge review,Subject: 5 styles our customers are wearing right now Preview: From textured crops to slick-backs — what's working. Goal: Link to gallery/lookbook QA build: not_built
